,source,subsource,dtype,Nancount,DataPerc,Zerocount,count,mean,std,min,25%,50%,75%,max
PCell_RSRP_2,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,-97.21146977,18.26351616,-175.605625,-106.158125,-94.443125,-84.564375,-54.061875
PCell_RSRP_max,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,-90.1404725,12.12896186,-176.704375,-98.32875,-90.568125,-81.9275,-54.663125
PCell_RSRQ_1,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,-11.38453748,3.140727131,-30,-13.43170103,-11.00625,-9.221875,-0.375
PCell_RSRQ_2,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,-12.31314919,4.38764479,-30,-14.301875,-11.46125,-9.469375,-0.0625
PCell_RSRQ_max,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,-10.79816911,3.090745453,-30,-12.6925,-10.415,-8.636875,2.5
PCell_RSSI_1,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,-59.64540554,11.23733707,-98.10833333,-67.54125,-60.148125,-52.155625,-12.060625
PCell_RSSI_2,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,-65.10437715,15.76881341,-98.6575,-74.333125,-63.229375,-53.64375,-13.0325
PCell_RSSI_max,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,-65.10437715,15.76881341,-98.6575,-74.333125,-63.229375,-53.64375,-13.0325
PCell_SNR_1,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,4,197397,10.73878606,7.670953593,-17.60000038,5.285999998,10.88200001,16.26200001,30
PCell_SNR_2,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,3,197397,8.750014086,9.245486308,-19.44999981,2.873999991,9.583000019,15.513,29.99599998
PCell_E-ARFCN,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,10037,95.16135253,0,197397,1424.531176,834.4624126,125,1300,1300,1801,9460
PCell_Downlink_Num_RBs,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,10573,94.90295709,0,196861,17090.26671,29808.88644,1,95,196,33409,100580
PCell_Downlink_TB_Size,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,10573,94.90295709,0,196861,1243278.664,2543575.262,7,2116,8602,1257060,18679098
PCell_Downlink_RBs_MCS_0,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,60559,70.80565385,0,146875,100.5867336,1023.293546,0.5,4,4,16,59107
PCell_Downlink_RBs_MCS_1,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,85946,58.56706229,0,121488,109.9383684,812.0547256,0.5,4,8,84,42320
PCell_Downlink_RBs_MCS_2,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,181762,12.37598465,0,25672,472.6623169,2617.320587,0.5,5,7,24,70920
PCell_Downlink_RBs_MCS_3,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,161265,22.25719988,0,46169,367.6476532,1762.9426,0.5,5,5,20,51512
PCell_Downlink_RBs_MCS_4,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,177802,14.2850256,0,29632,610.9768831,2288.176218,0.5,5,13,114.5,40868
PCell_Downlink_RBs_MCS_5,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,174357,15.94579481,0,33077,732.6328718,2515.863368,0.5,4,14,146,40836
PCell_Downlink_RBs_MCS_6,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,166321,19.8197981,0,41113,926.1868752,2931.54583,0.5,8,20,312,51972
PCell_Downlink_RBs_MCS_7,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,158013,23.82492745,0,49421,1067.449273,3296.574325,0.5,4,18,352,68736
PCell_Downlink_RBs_MCS_8,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,152365,26.5477212,0,55069,1218.03235,3540.342808,0.5,4.5,20,409,55740
PCell_Downlink_RBs_MCS_9,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,153973,25.77253488,0,53461,1010.24371,3325.791077,0.5,4,16,203,56516
PCell_Downlink_RBs_MCS_10,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,191659,7.604828524,0,15775,1805.857433,3323.454631,0.5,30,286,2069,32748
PCell_Downlink_RBs_MCS_11,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,142651,31.2306565,0,64783,1528.615084,3847.815747,0.5,4.5,30,777.5,58072
PCell_Downlink_RBs_MCS_12,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,129587,37.5285633,0,77847,1672.608366,4542.344289,0.5,4,24,676,70312
PCell_Downlink_RBs_MCS_13,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,128812,37.90217611,0,78622,1872.953499,4642.983803,0.5,5.5,36,1050,77635
PCell_Downlink_RBs_MCS_14,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,124445,40.00742405,0,82989,1980.907018,4871.048972,0.5,6,48,1235,67444
PCell_Downlink_RBs_MCS_15,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,122850,40.77634332,0,84584,2006.571479,4574.573744,0.5,7,60,1598.125,68616
PCell_Downlink_RBs_MCS_16,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,134164,35.32207835,0,73270,1409.347475,4022.31927,0.5,4,32,395,65188
PCell_Downlink_RBs_MCS_17,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,179274,13.5754023,0,28160,2733.105575,4683.956342,0.5,40,498,3684.5,54852
PCell_Downlink_RBs_MCS_18,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,122980,40.71367278,0,84454,2127.433473,4700.900865,0.5,8,76,1871,68440
PCell_Downlink_RBs_MCS_19,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,126051,39.23320189,0,81383,2269.002623,4869.479054,0.5,8,86,2178.75,69476
PCell_Downlink_RBs_MCS_20,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,132778,35.99024268,0,74656,2521.960599,5353.311609,0.5,8,89,2692,68316
PCell_Downlink_RBs_MCS_21,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,129399,37.61919454,0,78035,2196.754815,4559.346566,0.5,15,88,2236,60512
PCell_Downlink_RBs_MCS_22,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,140061,32.47924641,0,67373,2487.790665,5011.775526,0.5,12,95.5,2800,75636
PCell_Downlink_RBs_MCS_23,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,155915,24.83633348,0,51519,3089.429366,5334.384162,0.5,16.5,308,4212,59928
PCell_Downlink_RBs_MCS_24,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,161962,21.92118939,0,45472,3317.699364,5870.23254,0.5,20,352,4434.25,76680
PCell_Downlink_RBs_MCS_25,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,167757,19.12752972,0,39677,3365.962699,5791.123244,0.5,32,448,4449,67144
PCell_Downlink_RBs_MCS_26,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,172952,16.62311868,0,34482,3710.098588,6134.628665,0.5,40,752,4910.25,68930
PCell_Downlink_RBs_MCS_27,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,174789,15.73753579,0,32645,5213.958141,8915.656699,0.5,40,384,7265,74088
PCell_Downlink_RBs_MCS_28,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,184651,10.9832525,0,22783,9340.305271,18338.62026,0.5,24,772,9266,100376
PCell_Downlink_RBs_MCS_29,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,164345,20.77239025,0,43089,718.7982316,1737.02826,0.5,5.5,44,464,25526
PCell_Downlink_RBs_MCS_30,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,128451,38.07620737,0,78983,1061.918451,1982.334105,0.5,5.5,68,1231.25,21876
PCell_Downlink_RBs_MCS_31,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,97763,52.87031056,0,109671,1573.65241,2517.949987,0.5,8,64,2698,19486
PCell_Downlink_Average_MCS,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,10573,94.90295709,8169,196861,14.82458181,7.373502043,0,10,16,20,29
PCell_Uplink_Num_RBs,mobileinsight,LTE_PHY_PUSCH_Tx_Report,float64,12342,94.05015571,0,195092,16297.60223,27583.83978,1,450,1079,27901.5,94359
PCell_Uplink_TB_Size,mobileinsight,LTE_PHY_PUSCH_Tx_Report,float64,12342,94.05015571,683,195092,885153.405,1617690.198,0,14918.25,40748.5,994523.5,6211206
PCell_Uplink_Tx_Power_(dBm),mobileinsight,LTE_PHY_PUSCH_Tx_Report,float64,12342,94.05015571,11,195092,42.83049369,41.99280744,0,12.5,22.73170732,83.72848898,127
PCell_Cell_ID,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,0,194742,281.3974797,145.9337777,2,172,300,416,503
PCell_Downlink_frequency,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,0,194742,1425.179704,828.8412503,125,1300,1300,1801,9460
PCell_Uplink_frequency,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,0,194742,19425.1797,828.8412503,18125,19300,19300,19801,27460
PCell_Downlink_bandwidth_MHz,mobileinsight,LTE_RRC_Serv_Cell_Info,object,12692,93.88142735,0,,,,,,,,
PCell_Uplink_bandwidth_MHz,mobileinsight,LTE_RRC_Serv_Cell_Info,object,12692,93.88142735,0,,,,,,,,
PCell_Cell_Identity,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,0,194742,17838291.33,14915097.84,2567188,2940680,26351361,26947074,53102857
PCell_TAC,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,0,194742,26255.40106,23797.17945,1492,1494,49100,49104,49401
PCell_Band_Indicator,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,0,194742,3.215505643,1.791998419,1,3,3,3,28
PCell_MCC,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,0,194742,262,0,262,262,262,262,262
PCell_MNC_Digit,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,0,194742,2,0,2,2,2,2,2
PCell_MNC,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,0,194742,1.519862177,0.499606621,1,1,2,2,2
PCell_Allowed_Access,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,12692,93.88142735,194601,194742,0.00144807,0.053796445,0,0,0,0,2
PCell_freq_MHz,mobileinsight,preprocess/merge_mi_all.ipynb,float64,10042,95.15894212,0,197392,1946.53684,282.377644,700,1800,1800,2000,2600
SCell_RSRP_1,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,-92.77791258,9.96788202,-178.221875,-99.9921875,-93.699375,-85.86828125,-53.75
SCell_RSRP_2,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,-95.09194366,14.99564114,-174.971875,-100.315936,-93.4259375,-85.0865625,-55.193125
SCell_RSRP_max,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,-91.15379645,10.18679872,-174.971875,-98.401875,-91.810625,-83.93149671,-53.75
SCell_RSRQ_1,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,-12.11434201,2.966170593,-30,-12.98796875,-11.23625,-10.46390625,-3.47375
SCell_RSRQ_2,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,-12.63150173,3.820600097,-30,-13.8575,-11.22653792,-10.30078125,-2.65375
SCell_RSRQ_max,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,-11.49450639,2.969972684,-30,-12.560625,-10.52375,-9.74453125,-1.883125
SCell_RSSI_1,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,-60.60803175,9.350519719,-87.171875,-67.37953125,-61.7115625,-54.31606924,-18.93
SCell_RSSI_2,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,-62.38172286,12.83333522,-94.48,-68.19984375,-61.35375,-53.73703125,-15.714375
SCell_RSSI_max,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,-62.38172286,12.83333522,-94.48,-68.19984375,-61.35375,-53.73703125,-15.714375
SCell_SNR_1,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,10.95423505,7.40271799,-17.94999981,6.435999987,11.56149998,16.00300003,28.90599995
SCell_SNR_2,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,9.900656937,8.683126501,-18.24999968,4.926249995,11.648,15.83700002,28.525
SCell_E-ARFCN,mobileinsight,LTE_PHY_Serv_Cell_Measurement,float64,174800,15.7322329,0,32634,2893.356499,388.3129742,475,2850,3050,3050,3050
SCell_Downlink_Num_RBs,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,178076,14.15293539,0,29358,62328.07221,28311.35922,1,45255,54696,90779,99516
SCell_Downlink_TB_Size,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,178076,14.15293539,0,29358,4702453.887,3525063.984,5,2161060.75,3793934.5,6587454.5,18435874
SCell_Downlink_RBs_MCS_0,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,206283,0.554875286,0,1151,4045.695482,9330.631596,1,300,672,2059,82092
SCell_Downlink_RBs_MCS_1,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,206770,0.320101816,0,664,2585.698042,3875.414949,2,150,986,3230,29158
SCell_Downlink_RBs_MCS_2,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,206556,0.42326716,0,878,3900.929385,5940.668071,2,253,1435,4489,38016
SCell_Downlink_RBs_MCS_3,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,206164,0.61224293,0,1270,3910.062992,6556.77321,1,272,1492,4664,57424
SCell_Downlink_RBs_MCS_4,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,205692,0.839785185,0,1742,3731.171068,5225.539925,1,392,1779,4815,41460
SCell_Downlink_RBs_MCS_5,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,205082,1.133854624,0,2352,3970.432185,5356.310287,0.5,420,1986,5265,46588
SCell_Downlink_RBs_MCS_6,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,204281,1.520001543,0,3153,4860.018871,6193.652472,1.5,682,2772,6480,56464
SCell_Downlink_RBs_MCS_7,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,203348,1.96978316,0,4086,6092.825502,7286.759398,0.5,917,3375,8643.5,55564
SCell_Downlink_RBs_MCS_8,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,202158,2.543459606,0,5276,6744.803355,8127.761637,1,1050,3725,9524.5,67312
SCell_Downlink_RBs_MCS_9,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,200993,3.105084027,0,6441,7222.837448,8381.113218,1,1320,4324,10160,64668
SCell_Downlink_RBs_MCS_10,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,207365,0.033263592,0,69,18.66666667,15.56855491,4,6.5,13,28,84
SCell_Downlink_RBs_MCS_11,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,199761,3.699007877,0,7673,7048.750815,7785.532279,2,1358,4360,10088,65108
SCell_Downlink_RBs_MCS_12,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,198103,4.498298254,0,9331,7796.660058,8750.848483,0.5,1415,4712,11255,69068
SCell_Downlink_RBs_MCS_13,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,196219,5.406538947,0,11215,7492.714802,8214.543349,2,1375,4700,10911,68490
SCell_Downlink_RBs_MCS_14,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,193929,6.510504546,0,13505,8257.969086,9014.568592,1,1562.5,5244,11892,80952
SCell_Downlink_RBs_MCS_15,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,192461,7.218199524,0,14973,9563.940793,9787.087869,2,1884,6325.5,14290,64848
SCell_Downlink_RBs_MCS_16,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,191795,7.539265501,0,15639,9818.927105,10306.38715,2,2060,6512,14254,75454
SCell_Downlink_RBs_MCS_17,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,207361,0.035191916,0,73,17.17808219,15.56000256,3.5,5.5,8.5,26,72
SCell_Downlink_RBs_MCS_18,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,192780,7.06441567,0,14654,9418.43135,9955.434864,1,1926.5,6108,13835.5,86990
SCell_Downlink_RBs_MCS_19,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,193610,6.6642884,0,13824,8874.388093,9726.085684,2,1740,5647,12754.5,71436
SCell_Downlink_RBs_MCS_20,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,194766,6.107002709,0,12668,9193.61679,10065.24673,1,1748,5787,13096,80500
SCell_Downlink_RBs_MCS_21,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,195642,5.684699712,0,11792,8686.174271,9553.781482,0.5,1584,5309,12557,78000
SCell_Downlink_RBs_MCS_22,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,197220,4.923975819,0,10214,9683.602457,10388.0156,1,2028.5,6220,13862,71382
SCell_Downlink_RBs_MCS_23,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,198406,4.352227697,0,9028,8995.400421,9432.804032,1,1928,5976,13045,76128
SCell_Downlink_RBs_MCS_24,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,199670,3.742877253,0,7764,8364.274279,9066.981935,2,1624,5360,11977,69722
SCell_Downlink_RBs_MCS_25,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,200952,3.12484935,0,6482,7820.438059,8501.505777,1,1488,4871,11495,60512
SCell_Downlink_RBs_MCS_26,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,201858,2.688083921,0,5576,8600.023583,9220.88383,2,1560,5341,12581,54344
SCell_Downlink_RBs_MCS_27,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,202919,2.176595929,0,4515,12273.75592,12804.17214,2,2131,8144,18213,71198
SCell_Downlink_RBs_MCS_28,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,203742,1.779843227,0,3692,19675.35753,28257.38711,2,1666,6066,24211,99240
SCell_Downlink_RBs_MCS_29,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,202102,2.570456145,0,5332,1572.804764,2163.803278,1,191.5,700,2112,22102
SCell_Downlink_RBs_MCS_30,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,190731,8.052199736,0,16703,1992.068401,1950.32681,1,432,1344,2996,14836
SCell_Downlink_RBs_MCS_31,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,187848,9.442039396,0,19586,3305.16619,2690.990076,1,1012,2756,5024,15794
SCell_Downlink_Average_MCS,mobileinsight,LTE_PHY_PDSCH_Stat_Indication,float64,178076,14.15293539,105,29358,18.00762995,5.407369611,0,15,18,22,31
SCell_Uplink_Num_RBs,mobileinsight,LTE_PHY_PUSCH_Tx_Report,float64,207434,0,0,0,,,,,,,
SCell_Uplink_TB_Size,mobileinsight,LTE_PHY_PUSCH_Tx_Report,float64,207434,0,0,0,,,,,,,
SCell_Uplink_Tx_Power_(dBm),mobileinsight,LTE_PHY_PUSCH_Tx_Report,float64,207434,0,0,0,,,,,,,
SCell_Cell_ID,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,0,20882,274.4727517,117.1486487,9,187,305,338,498
SCell_Downlink_frequency,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,0,20882,2540.679485,762.1992265,125,1801,2850,3050,3050
SCell_Uplink_frequency,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,0,20882,20540.67948,762.1992265,18125,19801,20850,21050,21050
SCell_Downlink_bandwidth_MHz,mobileinsight,LTE_RRC_Serv_Cell_Info,object,186552,10.06681643,0,,,,,,,,
SCell_Uplink_bandwidth_MHz,mobileinsight,LTE_RRC_Serv_Cell_Info,object,186552,10.06681643,0,,,,,,,,
SCell_Cell_Identity,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,0,20882,24172285.04,14502312.29,2568966,3286541,26720005,30829824,51842568
SCell_TAC,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,0,20882,17976.29739,22651.96276,1492,1494,1495,49102,49300
SCell_Band_Indicator,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,0,20882,5.89943492,1.853176044,1,3,7,7,7
SCell_MCC,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,0,20882,262,0,262,262,262,262,262
SCell_MNC_Digit,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,0,20882,2,0,2,2,2,2,2
SCell_MNC,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,0,20882,1.346183316,0.475763878,1,1,1,2,2
SCell_Allowed_Access,mobileinsight,LTE_RRC_Serv_Cell_Info,float64,186552,10.06681643,20582,20882,0.02873288,0.237997677,0,0,0,0,2
SCell_freq_MHz,mobileinsight,preprocess/merge_mi_all.ipynb,float64,174800,15.7322329,0,32634,2533.033033,221.455862,1800,2600,2600,2600,2600
scenario,manual,metadata/berlin_protocol.csv,object,0,100,0,,,,,,,,
drive_mode,manual,metadata/berlin_protocol.csv,object,0,100,0,,,,,,,,
target_datarate,manual,metadata/berlin_protocol.csv,int64,0,100,0,207434,134238549.1,150230287.2,400000,400000,75000000,350000000,350000000
direction,manual,metadata/berlin_protocol.csv,object,0,100,0,,,,,,,,
measured_qos,manual,metadata/berlin_protocol.csv,object,0,100,0,,,,,,,,
operator,manual,metadata/berlin_protocol.csv,int64,0,100,0,207434,1.500785792,0.500000588,1,1,2,2,2
timestamp,,index,"datetime64[ns, Europe/Berlin]",0,100,0,207434,,,2021-06-22 09:49:00+02:00,,,,2021-06-24 18:59:59+02:00
